,APN,BA>75 All Slopes,BA>75 & S>30,BA>75 & 30>S>15,BA>75 & S<15,"BA<75,BA>50  and S>30","BA<75,BA>50  and 30>S>15","BA<75,BA>50 and S<15","BA<50,BA>25 and S>30","BA<50,BA>25 and 30>S>15","BA<50,BA>25 and S<15",BA<25 and S>30,BA<25 and 30>S>15,BA<25 and S<15
0,011020001,1259.81,269.43,617.42,372.96,38.34,69.11,72.9,40.27,77.31,88.7,69.16,253.74,259.27
1,011100025,634.74,9.24,96.06,529.44,0.41,6.14,54.46,0.45,4.65,48.32,0.85,16.16,80.28
2,Warner_Watershed,379.53,122.48,208.22,48.83,36.99,33.33,11.29,33.77,30.34,13.25,90.41,106.22,66.73
3,011060002,369.77,51.0,181.63,137.14,9.23,47.03,57.73,9.23,51.54,72.11,32.39,216.48,369.39
4,011060001,338.77,16.42,97.91,224.44,1.52,8.34,27.22,2.46,8.26,24.44,25.93,36.77,36.43
5,011060017,325.82,45.74,58.82,221.26,5.57,10.9,51.77,4.99,12.53,47.08,4.59,64.87,253.77
6,011020002,96.86,22.93,54.92,19.01,8.08,22.11,18.32,12.19,30.96,24.83,108.4,262.94,209.97
7,011100007,64.80000000000001,1.25,15.81,47.74,0.04,1.12,5.78,0.04,1.0,5.54,0.2,0.89,4.02
8,011100008,54.72,0.0,0.91,53.81,0.0,0.09,1.2,0.0,0.0,0.0,0.0,0.0,0.0
9,011160006,49.56999999999999,4.08,27.68,17.81,0.02,2.69,2.32,0.19,3.2,3.85,0.9,13.94,11.02
10,011020003,31.020000000000003,2.62,17.68,10.72,3.95,15.16,8.96,10.9,21.17,8.27,87.95,113.74,41.58
11,011010003,17.12,2.58,6.36,8.18,1.65,1.44,3.64,0.38,0.71,2.12,7.93,5.6,10.84
12,011130021,14.520000000000001,0.02,1.04,13.46,0.0,0.58,3.54,0.0,0.52,3.68,0.0,1.23,13.31
13,011130022,13.25,0.01,0.32,12.92,0.01,0.42,8.16,0.04,0.42,12.23,0.12,2.05,58.34
14,011200021,13.219999999999999,0.57,3.39,9.26,0.91,2.45,3.82,2.16,3.94,4.49,8.38,13.93,5.22
15,011130016,11.56,0.77,4.87,5.92,0.8,3.24,2.38,0.64,3.13,3.34,9.21,37.41,56.17
16,011160007,11.09,0.0,0.04,11.05,0.0,0.27,23.71,0.01,0.19,44.62,1.15,6.07,196.89
17,011130020,10.87,0.0,0.19,10.68,0.01,0.46,9.36,0.01,0.64,9.93,0.05,0.98,14.17
18,011200022,10.860000000000001,0.0,0.23,10.63,0.0,0.03,3.93,0.0,0.04,3.53,0.0,0.0,3.05
19,011130013,10.67,0.0,0.02,10.65,0.0,0.0,5.47,0.0,0.0,5.77,0.01,0.1,19.23
20,011130004,10.15,0.04,1.7,8.41,0.0,0.15,0.37,0.0,0.04,0.33,0.0,0.0,0.0
21,011010001,7.87,0.1,3.47,4.3,0.18,2.62,3.9,0.08,1.3,2.31,0.03,4.56,10.92
22,011130010,5.9399999999999995,0.03,0.41,5.5,0.0,0.03,0.78,0.0,0.01,0.73,0.0,0.0,0.0
23,011130015,5.4399999999999995,0.0,1.13,4.31,0.26,1.86,5.25,0.28,1.54,3.22,2.24,8.32,34.01
24,011200009,5.4,0.0,0.11,5.29,0.0,0.02,11.99,0.07,0.35,22.99,12.62,22.72,252.24
25,011130019,4.66,0.0,0.0,4.66,0.0,0.06,5.41,0.0,0.15,8.14,0.01,0.45,32.94
26,011210011,3.61,0.0,0.0,3.61,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
27,011210012,3.1,0.0,0.0,3.1,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
28,011160010,3.0,2.08,0.3,0.62,0.75,2.67,1.09,2.1,3.17,2.16,17.98,21.93,2.42
29,011130018,2.94,0.0,0.42,2.52,0.0,0.15,1.63,0.01,0.23,5.52,0.08,0.7,20.58
30,011210013,2.9,0.0,0.0,2.9,0.0,0.01,0.52,0.0,0.0,0.13,0.0,0.0,0.0
31,011210010,2.76,0.0,0.0,2.76,0.0,0.0,0.1,0.0,0.0,0.09,0.0,0.0,0.0
32,011210008,2.31,0.0,0.07,2.24,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0
33,011200ROW,2.0300000000000002,0.0,0.16,1.87,0.02,0.04,0.74,0.04,0.16,0.88,0.0,0.0,0.34
34,011200ROW,2.0300000000000002,0.0,0.16,1.87,0.02,0.04,0.74,0.04,0.16,0.88,0.0,0.0,0.34
35,011210009,1.83,0.0,0.0,1.83,0.0,0.0,0.44,0.0,0.0,0.58,0.0,0.0,0.0
36,011210004,1.81,0.04,0.68,1.09,0.12,0.96,0.38,0.12,0.46,0.24,0.0,0.0,0.0
37,011210007,1.6,0.0,0.1,1.5,0.0,0.01,0.93,0.0,0.0,0.32,0.0,0.0,0.0
38,011170002,1.53,0.04,0.49,1.0,0.0,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0
39,011210003,1.4700000000000002,0.01,0.37,1.09,0.05,0.36,1.23,0.05,0.29,1.56,0.07,0.41,5.34
40,011210ROW,1.1800000000000002,0.0,0.07,1.11,0.04,0.07,1.35,0.0,0.01,0.84,0.0,0.02,0.52
41,011130006,0.92,0.0,0.01,0.91,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
42,011210006,0.9099999999999999,0.0,0.06,0.85,0.0,0.01,0.95,0.0,0.0,0.61,0.0,0.08,0.29
43,011130011,0.87,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,011210021,0.81,0.0,0.01,0.8,0.01,0.08,0.2,0.0,0.13,0.13,0.0,0.05,1.97
45,011254005,0.7,0.13,0.12,0.45,0.0,0.0,0.31,0.01,0.0,0.02,0.0,0.0,0.0
46,011210017,0.68,0.0,0.0,0.68,0.0,0.0,1.07,0.0,0.0,1.02,0.0,0.0,0.48
47,011130007,0.68,0.0,0.0,0.68,0.0,0.0,1.19,0.0,0.0,1.22,0.0,0.15,16.48
48,011281007,0.66,0.02,0.36,0.28,0.0,0.03,0.17,0.0,0.01,0.09,0.0,0.0,0.0
49,011170001,0.66,0.02,0.39,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,011254004,0.63,0.03,0.07,0.53,0.01,0.2,0.18,0.02,0.14,0.17,0.0,0.01,0.14
51,011210018,0.58,0.0,0.0,0.58,0.0,0.02,0.91,0.0,0.0,1.38,0.0,0.0,0.02
52,011221001,0.56,0.0,0.0,0.56,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
53,011210005,0.52,0.0,0.16,0.36,0.0,0.12,0.37,0.0,0.32,0.64,0.0,0.06,0.89
54,011200006,0.44,0.0,0.0,0.44,0.0,0.0,1.43,0.0,0.0,1.98,0.0,0.0,6.03
55,011262006,0.43,0.02,0.22,0.19,0.0,0.17,0.26,0.01,0.05,0.09,0.0,0.0,0.0
56,011252002,0.43,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
57,011180013,0.39999999999999997,0.03,0.3,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,011180014,0.35,0.01,0.21,0.13,0.0,0.0,0.02,0.02,0.1,0.03,0.0,0.0,0.0
59,011223001,0.33,0.0,0.0,0.33,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0
60,011200007,0.32,0.0,0.0,0.32,0.2,0.11,0.13,0.39,0.33,0.28,0.68,0.15,1.09
61,011252003,0.31,0.0,0.0,0.31,0.0,0.0,0.08,0.0,0.0,0.15,0.0,0.0,0.0
62,011222001,0.31,0.0,0.0,0.31,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0
63,011200012,0.25,0.0,0.05,0.2,0.01,0.14,1.22,0.88,1.23,1.34,0.91,3.24,10.61
64,011222012,0.25,0.0,0.1,0.15,0.0,0.01,0.09,0.02,0.07,0.11,0.0,0.0,0.09
65,011220ROW,0.24,0.0,0.0,0.24,0.0,0.04,0.61,0.0,0.03,0.72,0.0,0.01,0.88
66,011170003,0.23,0.0,0.1,0.13,0.01,0.22,0.04,0.0,0.01,0.0,0.0,0.0,0.0
67,011200008,0.23,0.0,0.0,0.23,0.29,0.18,0.05,0.31,0.18,0.99,0.62,0.14,1.69
68,011180004,0.21,0.0,0.15,0.06,0.0,0.2,0.09,0.0,0.0,0.0,0.0,0.0,0.0
69,011222006,0.19999999999999998,0.0,0.02,0.18,0.0,0.0,0.26,0.0,0.07,0.37,0.0,0.0,0.0
70,011243006,0.17,0.0,0.0,0.17,0.0,0.0,0.38,0.0,0.0,0.07,0.0,0.0,0.13
71,011254003,0.15000000000000002,0.0,0.01,0.14,0.02,0.04,0.92,0.02,0.02,0.03,0.0,0.0,0.0
72,011262005,0.15000000000000002,0.0,0.01,0.14,0.0,0.02,0.04,0.02,0.14,0.27,0.01,0.06,0.03
73,011180007,0.14,0.0,0.1,0.04,0.0,0.07,0.18,0.0,0.0,0.0,0.0,0.0,0.0
74,011252006,0.13,0.0,0.0,0.13,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
75,011222003,0.11,0.0,0.0,0.11,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0
76,011222004,0.11,0.0,0.0,0.11,0.0,0.0,0.23,0.0,0.0,0.09,0.0,0.0,0.0
77,011252001,0.1,0.0,0.0,0.1,0.0,0.02,0.28,0.0,0.0,0.02,0.0,0.01,0.03
78,011222015,0.1,0.0,0.0,0.1,0.1,0.1,0.42,0.0,0.0,0.01,0.03,0.05,0.28
79,011252004,0.1,0.0,0.0,0.1,0.0,0.0,0.31,0.0,0.0,0.04,0.0,0.0,0.0
80,011222013,0.09,0.0,0.06,0.03,0.0,0.1,0.26,0.0,0.0,0.01,0.0,0.01,0.19
